month,indicative-price,final-price,delta
Jun-15,75200,80000,4800
Jul-15,79900,83100,3200
Aug-15,79900,82600,2700
Sep-15,79900,82100,2200
Oct-15,82600,85300,2700
Nov-15,82600,84600,2000
Dec-15,82600,84500,1900
Jan-16,80600,82200,1600
Feb-16,80600,83200,2600
Mar-16,80600,83100,2500
Apr-16,82800,85100,2300
May-16,82800,85000,2200
Jun-16,82800,84400,1600
Jul-16,84800,87200,2400
Aug-16,84800,86900,2100
Sep-16,84800,86500,1700
Oct-16,86800,88300,1500
Nov-16,86800,88600,1800
Dec-16,86800,88300,1500
Jan-17,86000,87600,1600
Feb-17,86000,88200,2200
Mar-17,86000,87800,1800
Apr-17,87900,89800,1900
May-17,87900,90100,2200
Jun-17,87900,89400,1500
