ts,R01_bid.curr.mth,R01_target.7sec
2015-06-01 11:29:00,77700,77900
2015-06-01 11:29:00,77700,78000
2015-06-01 11:29:00,77800,78000
2015-06-01 11:29:00,77800,78000
2015-06-01 11:29:00,77900,78000
2015-06-01 11:29:00,77900,78000
2015-06-01 11:29:00,77900,78000
2015-06-01 11:29:00,77900,78100
2015-06-01 11:29:00,78000,78100
2015-06-01 11:29:00,78000,78100
2015-06-01 11:29:00,78000,78100
2015-06-01 11:29:00,78000,78100
2015-06-01 11:29:00,78000,78200
2015-06-01 11:29:00,78000,78200
2015-06-01 11:29:00,78100,78300
2015-06-01 11:29:00,78100,78300
2015-06-01 11:29:00,78100,78300
2015-06-01 11:29:00,78100,78400
2015-06-01 11:29:00,78100,78400
2015-06-01 11:29:00,78200,78500
2015-06-01 11:29:00,78200,78500
2015-06-01 11:29:00,78300,78500
2015-06-01 11:29:00,78300,78600
2015-06-01 11:29:00,78300,78600
2015-06-01 11:29:00,78400,78600
2015-06-01 11:29:00,78400,78700
2015-06-01 11:29:00,78500,78700
2015-06-01 11:29:00,78500,78700
2015-06-01 11:29:00,78500,78800
2015-06-01 11:29:00,78600,78900
2015-06-01 11:29:00,78600,79000
2015-06-01 11:29:00,78600,79000
2015-06-01 11:29:00,78700,79100
2015-06-01 11:29:00,78700,79100
2015-06-01 11:29:00,78700,79100
2015-06-01 11:29:00,78800,79200
2015-06-01 11:29:00,78900,79200
2015-06-01 11:29:00,79000,79200
2015-06-01 11:29:00,79000,79300
2015-06-01 11:29:00,79100,79400
2015-06-01 11:29:00,79100,79400
2015-06-01 11:29:00,79100,79500
2015-06-01 11:29:00,79200,79500
2015-06-01 11:29:00,79200,79500
2015-06-01 11:29:00,79200,79600
2015-06-01 11:29:00,79300,79600
2015-06-01 11:29:00,79400,79700
2015-06-01 11:29:00,79400,79700
2015-06-01 11:29:00,79500,79700
2015-06-01 11:29:00,79500,79800
2015-06-01 11:29:00,79500,79900
2015-06-01 11:29:00,79600,79900
2015-06-01 11:29:00,79600,79900
2015-06-01 11:29:00,79700,80000
2015-07-01 11:29:00,81400,81400
2015-07-01 11:29:00,81400,81400
2015-07-01 11:29:00,81400,81500
2015-07-01 11:29:00,81400,81500
2015-07-01 11:29:00,81400,81500
