ccyy-mm,time,bid-price
2015-01,11:29:00,74000
2015-01,11:29:01,74000
2015-01,11:29:02,74000
2015-01,11:29:03,74000
2015-01,11:29:04,74000
2015-01,11:29:05,74000
2015-01,11:29:06,74000
2015-01,11:29:07,74000
2015-01,11:29:08,74000
2015-01,11:29:09,74000
2015-01,11:29:10,74000
2015-01,11:29:11,74000
2015-01,11:29:12,74000
2015-01,11:29:13,74000
2015-01,11:29:14,74000
2015-01,11:29:15,74000
2015-01,11:29:16,74000
2015-01,11:29:17,74000
2015-01,11:29:18,74000
2015-01,11:29:19,74000
2015-01,11:29:20,74000
2015-01,11:29:21,74000
2015-01,11:29:22,74000
2015-01,11:29:23,74000
2015-01,11:29:24,74000
2015-01,11:29:25,74000
2015-01,11:29:26,74000
2015-01,11:29:27,74000
2015-01,11:29:28,74000
2015-01,11:29:29,74000
2015-01,11:29:30,74000
2015-01,11:29:31,74000
2015-01,11:29:32,74000
2015-01,11:29:33,74000
2015-01,11:29:34,74000
2015-01,11:29:35,74000
2015-01,11:29:36,74000
2015-01,11:29:37,74000
2015-01,11:29:38,74000
2015-01,11:29:39,74000
2015-01,11:29:40,74000
2015-01,11:29:41,74000
2015-01,11:29:42,74000
2015-01,11:29:43,74000
2015-01,11:29:44,74000
2015-01,11:29:45,74000
2015-01,11:29:46,74000
2015-01,11:29:47,74000
2015-01,11:29:48,74000
2015-01,11:29:49,74000
2015-01,11:29:50,74000
2015-01,11:29:51,74000
2015-01,11:29:52,74000
2015-01,11:29:53,74000
2015-01,11:29:54,74000
2015-01,11:29:55,74000
2015-01,11:29:56,74000
2015-01,11:29:57,74000
2015-01,11:29:58,74000
2015-01,11:29:59,74000
2015-01,11:30:00,74000
2015-02,11:29:00,76000
2015-02,11:29:01,76100
2015-02,11:29:02,76100
2015-02,11:29:03,76100
2015-02,11:29:04,76100
2015-02,11:29:05,76100
2015-02,11:29:06,76100
2015-02,11:29:07,76100
2015-02,11:29:08,76100
2015-02,11:29:09,76100
2015-02,11:29:10,76100
2015-02,11:29:11,76100
2015-02,11:29:12,76100
2015-02,11:29:13,76100
2015-02,11:29:14,76100
2015-02,11:29:15,76100
2015-02,11:29:16,76100
2015-02,11:29:17,76100
2015-02,11:29:18,76100
2015-02,11:29:19,76100
2015-02,11:29:20,76100
2015-02,11:29:21,76100
2015-02,11:29:22,76100
2015-02,11:29:23,76100
2015-02,11:29:24,76100
2015-02,11:29:25,76100
2015-02,11:29:26,76100
2015-02,11:29:27,76100
2015-02,11:29:28,76100
2015-02,11:29:29,76100
2015-02,11:29:30,76100
2015-02,11:29:31,76200
2015-02,11:29:32,76200
2015-02,11:29:33,76200
2015-02,11:29:34,76200
2015-02,11:29:35,76200
2015-02,11:29:36,76200
2015-02,11:29:37,76200
2015-02,11:29:38,76200
2015-02,11:29:39,76200
2015-02,11:29:40,76200
2015-02,11:29:41,76200
2015-02,11:29:42,76200
2015-02,11:29:43,76200
2015-02,11:29:44,76200
2015-02,11:29:45,76200
2015-02,11:29:46,76300
2015-02,11:29:47,76300
2015-02,11:29:48,76300
2015-02,11:29:49,76300
2015-02,11:29:50,76300
2015-02,11:29:51,76300
2015-02,11:29:52,76300
2015-02,11:29:53,76300
2015-02,11:29:54,76400
2015-02,11:29:55,76400
2015-02,11:29:56,76400
2015-02,11:29:57,76400
2015-02,11:29:58,76500
2015-02,11:29:59,76500
2015-02,11:30:00,76500
2015-03,11:29:00,74600
2015-03,11:29:01,74600
2015-03,11:29:02,74600
2015-03,11:29:03,74600
2015-03,11:29:04,74600
2015-03,11:29:05,74600
2015-03,11:29:06,74600
2015-03,11:29:07,74600
2015-03,11:29:08,74600
2015-03,11:29:09,74600
2015-03,11:29:10,74600
2015-03,11:29:11,74600
2015-03,11:29:12,74600
2015-03,11:29:13,74600
2015-03,11:29:14,74600
2015-03,11:29:15,74600
2015-03,11:29:16,74600
2015-03,11:29:17,74600
2015-03,11:29:18,74600
2015-03,11:29:19,74600
2015-03,11:29:20,74600
2015-03,11:29:21,74600
2015-03,11:29:22,74600
2015-03,11:29:23,74600
2015-03,11:29:24,74600
2015-03,11:29:25,74600
2015-03,11:29:26,74600
2015-03,11:29:27,74600
2015-03,11:29:28,74600
2015-03,11:29:29,74600
2015-03,11:29:30,74600
2015-03,11:29:31,74600
2015-03,11:29:32,74600
2015-03,11:29:33,74600
2015-03,11:29:34,74600
2015-03,11:29:35,74600
2015-03,11:29:36,74600
2015-03,11:29:37,74600
2015-03,11:29:38,74600
2015-03,11:29:39,74600
2015-03,11:29:40,74600
2015-03,11:29:41,74600
2015-03,11:29:42,74600
2015-03,11:29:43,74600
2015-03,11:29:44,74600
2015-03,11:29:45,74600
2015-03,11:29:46,74600
2015-03,11:29:47,74600
2015-03,11:29:48,74600
2015-03,11:29:49,74600
2015-03,11:29:50,74600
2015-03,11:29:51,74600
2015-03,11:29:52,74600
2015-03,11:29:53,74600
2015-03,11:29:54,74600
2015-03,11:29:55,74600
2015-03,11:29:56,74600
2015-03,11:29:57,74600
2015-03,11:29:58,74600
2015-03,11:29:59,74600
2015-03,11:30:00,74600
2015-04,11:29:00,79900
2015-04,11:29:01,79900
2015-04,11:29:02,79900
2015-04,11:29:03,79900
2015-04,11:29:04,79900
2015-04,11:29:05,79900
2015-04,11:29:06,79900
2015-04,11:29:07,79900
2015-04,11:29:08,80000
2015-04,11:29:09,80000
2015-04,11:29:10,80000
2015-04,11:29:11,80000
2015-04,11:29:12,80000
2015-04,11:29:13,80000
2015-04,11:29:14,80000
2015-04,11:29:15,80000
2015-04,11:29:16,80000
2015-04,11:29:17,80000
2015-04,11:29:18,80000
2015-04,11:29:19,80000
2015-04,11:29:20,80000
2015-04,11:29:21,80000
2015-04,11:29:22,80000
2015-04,11:29:23,80000
2015-04,11:29:24,80000
2015-04,11:29:25,80000
2015-04,11:29:26,80000
2015-04,11:29:27,80000
2015-04,11:29:28,80100
2015-04,11:29:29,80100
2015-04,11:29:30,80100
2015-04,11:29:31,80100
2015-04,11:29:32,80100
2015-04,11:29:33,80100
2015-04,11:29:34,80100
2015-04,11:29:35,80100
2015-04,11:29:36,80200
2015-04,11:29:37,80200
2015-04,11:29:38,80200
2015-04,11:29:39,80200
2015-04,11:29:40,80300
2015-04,11:29:41,80300
2015-04,11:29:42,80300
2015-04,11:29:43,80300
2015-04,11:29:44,80300
2015-04,11:29:45,80300
2015-04,11:29:46,80300
2015-04,11:29:47,80300
2015-04,11:29:48,80300
2015-04,11:29:49,80400
2015-04,11:29:50,80400
2015-04,11:29:51,80400
2015-04,11:29:52,80400
2015-04,11:29:53,80500
2015-04,11:29:54,80500
2015-04,11:29:55,80600
2015-04,11:29:56,80600
2015-04,11:29:57,80600
2015-04,11:29:58,80600
2015-04,11:29:59,80600
2015-04,11:30:00,80600
2015-05,11:29:00,78300
2015-05,11:29:01,78300
2015-05,11:29:02,78300
2015-05,11:29:03,78300
2015-05,11:29:04,78300
2015-05,11:29:05,78300
2015-05,11:29:06,78300
2015-05,11:29:07,78300
2015-05,11:29:08,78300
2015-05,11:29:09,78300
2015-05,11:29:10,78300
2015-05,11:29:11,78300
2015-05,11:29:12,78300
2015-05,11:29:13,78300
2015-05,11:29:14,78400
2015-05,11:29:15,78400
2015-05,11:29:16,78400
2015-05,11:29:17,78400
2015-05,11:29:18,78400
2015-05,11:29:19,78500
2015-05,11:29:20,78500
2015-05,11:29:21,78500
2015-05,11:29:22,78500
2015-05,11:29:23,78500
2015-05,11:29:24,78500
2015-05,11:29:25,78500
2015-05,11:29:26,78500
2015-05,11:29:27,78500
2015-05,11:29:28,78600
2015-05,11:29:29,78600
2015-05,11:29:30,78600
2015-05,11:29:31,78600
2015-05,11:29:32,78600
2015-05,11:29:33,78600
2015-05,11:29:34,78600
2015-05,11:29:35,78600
2015-05,11:29:36,78600
2015-05,11:29:37,78600
2015-05,11:29:38,78600
2015-05,11:29:39,78600
2015-05,11:29:40,78700
2015-05,11:29:41,78700
2015-05,11:29:42,78700
2015-05,11:29:43,78800
2015-05,11:29:44,78800
2015-05,11:29:45,78800
2015-05,11:29:46,78800
2015-05,11:29:47,78800
2015-05,11:29:48,78800
2015-05,11:29:49,78800
2015-05,11:29:50,78800
2015-05,11:29:51,78900
2015-05,11:29:52,78900
2015-05,11:29:53,78900
2015-05,11:29:54,78900
2015-05,11:29:55,78900
2015-05,11:29:56,78900
2015-05,11:29:57,78900
2015-05,11:29:58,78900
2015-05,11:29:59,79000
2015-05,11:30:00,79000
2015-06,11:29:00,77700
2015-06,11:29:01,77700
2015-06,11:29:02,77800
2015-06,11:29:03,77800
2015-06,11:29:04,77900
2015-06,11:29:05,77900
2015-06,11:29:06,77900
2015-06,11:29:07,77900
2015-06,11:29:08,78000
2015-06,11:29:09,78000
2015-06,11:29:10,78000
2015-06,11:29:11,78000
